,X,Y,Stock,X1,Y1,category
3050,-0.000292998,14.95715105,ST,0.004269401,12.09491755,
3051,-0.000292998,14.95715105,STAA,0.004311258,12.06816295,
3052,-0.000251141,14.93132389,STAF,0.004311258,12.06816295,
3053,-0.000251141,14.93132389,STAG,0.004394971,12.01465375,
3054,-0.000251141,14.93132389,SWKH,0.00468797,11.82737157,
3055,-0.000251141,14.93132389,SWKS,0.00468797,11.82737157,
3056,-0.000251141,14.93132389,SWM,0.004980968,11.64088303,
3057,-0.000209284,14.90549673,SWN,0.005022825,11.61426299,
3058,-0.000209284,14.90549673,SWX,0.005106538,11.56102291,
3059,-0.000209284,14.90549673,SXC,0.005148395,11.53440287,
3060,-0.000209284,14.90549673,SXI,0.005190252,11.50778283,
3061,-0.000167427,14.87966957,SXT,0.005399536,11.37468263,
3062,-0.000167427,14.87966957,SYBT,0.00548325,11.32144255,
3063,-0.000167427,14.87966957,SYBX,0.005608821,11.24158244,
3064,-0.000125571,14.85384241,SYF,0.005650678,11.2149624,
3065,-0.000125571,14.85384241,SYK,0.005692534,11.18834236,
3066,-0.000125571,14.85384241,SYKE,0.005734391,11.16172232,
3067,-0.000125571,14.85384241,SYN,0.005818105,11.10848224,
3068,-0.000125571,14.85384241,SYNA,0.005901819,11.05524216,
3069,-0.000125571,14.85384241,SYNC,0.005985533,11.00200208,
3070,-0.000125571,14.85384241,SYNH,0.005985533,11.00200208,
3071,-0.000125571,14.85384241,SYNL,0.006194817,10.86890188,
3072,-0.000125571,14.85384241,SYPR,0.006278531,10.81566181,
3073,-0.000125571,14.85384241,SYRS,0.006320388,10.78904177,
3074,-0.000125571,14.85384241,SYX,0.006445958,10.70918165,
3075,-8.37E-05,14.82801524,SYY,0.006487815,10.68256161,
3076,-8.37E-05,14.82801524,TA,0.006529672,10.65594157,
3077,-8.37E-05,14.82801524,TAC,0.006571529,10.62932153,
3078,-8.37E-05,14.82801524,TACO,0.006738956,10.52284137,
3079,-8.37E-05,14.82801524,TACT,0.006864527,10.44298126,
3080,-4.19E-05,14.80218808,TAIT,0.006990098,10.36312114,
3081,-4.19E-05,14.80218808,TALO,0.007073811,10.30988106,
